gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene60,-0.46800485,-0.04507973,0.06906201,0.05023933,0.017949013,0.0281828,0.035736196,0.042525932
Gene61,0.0818202,0.07462816,0.04776552,0.038180105,0.015960671,0.025188275,0.032280505,0.038545977
Gene62,0.005772139,-0.047326725,0.022357957,0.032158304,0.015395654,0.024140593,0.032560725,0.042146277
Gene63,0.27167028,0.012246569,0.045592148,0.034801204,0.01682966,0.027570048,0.035998594,0.045545284
Gene64,-0.029956158,0.008813807,-0.05407256,-0.020952092,0.01577095,0.024244305,0.033371218,0.04121768
Gene65,0.08547055,0.117956236,0.115489036,0.09922611,0.016285017,0.025240554,0.03231295,0.04104659
Gene66,0.08447833,0.09837006,0.112015314,0.13847624,0.014740724,0.023349416,0.03234056,0.041334484
Gene67,0.062912926,0.03781021,0.051664695,0.074881874,0.0155634945,0.023550551,0.031452604,0.03966588
Gene68,-0.7064839,-0.13444889,-0.020173162,0.013067049,0.02342018,0.033413626,0.040235706,0.046977475
Gene69,-0.0048655244,-0.018363109,0.036213532,-0.008155318,0.014055359,0.023379669,0.031495433,0.03882931
Gene7,0.008419504,0.01834103,0.02446222,-0.39639804,0.0141597,0.021405486,0.030205164,0.037905563
Gene70,-0.04919525,-0.59652996,-0.03490962,0.03914914,0.014671804,0.027493289,0.038465146,0.046591505
Gene71,0.039832704,0.01095352,-0.6376719,0.8822285,0.016573472,0.026877385,0.039687835,0.055326603
Gene72,0.5870627,0.24951072,0.1164048,0.1350806,0.020395566,0.02954396,0.036506034,0.043713808
Gene73,0.09240312,0.10245885,0.14246696,0.10706703,0.015232038,0.024918942,0.033539873,0.041459605
Gene74,-0.010638857,-0.583182,0.12812969,0.13372636,0.016403694,0.029549118,0.03917609,0.047620423
Gene75,0.096005835,0.029832741,-0.86614466,0.28126177,0.017083287,0.027812907,0.04050765,0.05247458
Gene76,0.037654124,0.03068196,-0.06659305,-0.015683716,0.014498324,0.024222087,0.03327395,0.041967675
Gene77,-0.11266835,-0.13018548,-0.12590691,-0.13799283,0.014568391,0.023764605,0.032004267,0.040104114
Gene78,0.033912003,0.042607736,0.022889106,0.033438392,0.014389918,0.02417889,0.033821575,0.043308213
Gene79,0.658664,0.21594718,0.11436226,0.7688574,0.0223923,0.03402738,0.041715737,0.050624046
Gene8,0.12550148,0.07794265,0.08091703,0.119759,0.01687478,0.02680993,0.035607297,0.04345856
Gene80,-0.030088812,0.029331908,-0.01480759,-0.008700287,0.015416349,0.02387712,0.029760735,0.038989183
Gene81,0.07413938,0.0920185,0.100422464,0.087826625,0.016032109,0.024149023,0.032025695,0.04073711
Gene82,0.04992023,0.066246465,0.06575792,0.09865625,0.015845722,0.02358591,0.033632904,0.041154813
Gene83,-0.09901148,-0.054133724,-0.025932562,-0.060203694,0.014858323,0.022600152,0.031727638,0.040379815
Gene84,0.10391953,0.4163014,0.06888513,0.017761817,0.016092975,0.024913387,0.034765247,0.043279085
Gene85,0.088593096,0.086364545,0.045749065,0.06284013,0.015901512,0.024770007,0.033025343,0.042117644
