day,tp,fp,fn,tn,precision,recall,f1,fpr
0,10,0,0,90,1.0,1.0,1.0,0.0
1,10,0,0,90,1.0,1.0,1.0,0.0
2,10,0,0,90,1.0,1.0,1.0,0.0
3,8,0,2,90,1.0,0.8,0.888888888888889,0.0
overall,38,0,2,360,1.0,0.95,0.9743589743589743,0.0
any,32,0,1,67,1.0,0.9696969696969697,0.9846153846153847,0.0
