guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g148,Gene48,0.46760803,0.4481152,0.4291158,0.45961872,0.01958791,0.02695943,0.033580154,0.041989088
g149,Gene49,0.31262365,0.07091425,0.015616147,0.005865837,0.020108098,0.027985813,0.0354321,0.04265725
g15,Gene15,0.08769245,-0.4385062,0.775037,-0.39005193,0.019374108,0.029647624,0.04380195,0.055100817
g150,Gene50,-0.19650744,-0.18325347,-0.14553648,-0.1692936,0.018312903,0.02548989,0.033464763,0.042218994
g151,Gene51,0.27753556,0.22222589,-0.580249,0.28819317,0.020663664,0.02826454,0.037702825,0.048380245
g152,Gene52,0.1757028,0.6648751,0.04325003,0.59124404,0.022048831,0.03143486,0.044169735,0.05210886
g153,Gene53,-0.11170441,-0.065409236,-0.08688545,-0.05159388,0.020014465,0.02775385,0.037593048,0.044480346
g154,Gene54,0.26809135,0.22422962,0.19998293,0.20380113,0.019382669,0.025657985,0.034066867,0.040712215
g155,Gene55,0.2812017,0.26710507,0.22450967,0.24070932,0.019313112,0.026797613,0.034890234,0.042948514
g156,Gene56,0.23938298,0.27968657,0.24960244,0.22869961,0.019255757,0.02666661,0.035059705,0.041729048
g157,Gene57,0.07986384,0.033824198,0.05575583,0.050726324,0.018028654,0.025909333,0.03283352,0.03838525
g158,Gene58,0.010558177,0.012764286,0.010779237,0.01952587,0.018076077,0.024881683,0.033192355,0.04039456
g159,Gene59,-0.1941455,-0.18994534,-0.1443955,-0.15532249,0.02027533,0.026955899,0.036961515,0.04431185
g16,Gene16,0.12489282,0.09423632,0.11542986,0.76175094,0.018985976,0.02756277,0.03652689,0.047420003
g160,Gene60,-0.72280586,-0.29988042,-0.18573883,-0.20456147,0.022508752,0.031272978,0.03799489,0.044770144
g161,Gene61,0.21926825,0.2120763,0.18521349,0.17562822,0.019463373,0.027597053,0.034488067,0.04054301
g162,Gene62,-0.06952383,-0.122622676,-0.052937973,-0.04313768,0.018573174,0.025944676,0.033715647,0.04297987
g163,Gene63,0.19025931,-0.069164276,-0.03581872,-0.04660962,0.020743877,0.030220507,0.038266297,0.047119536
g164,Gene64,-0.33784863,-0.29907867,-0.36196485,-0.32884455,0.020659687,0.027524985,0.03592783,0.04361484
g165,Gene65,0.13018638,0.16267213,0.16020492,0.1439419,0.020474408,0.028417459,0.034465887,0.042699147
g166,Gene66,0.10218978,0.11608168,0.12972681,0.15618776,0.017865887,0.025011837,0.033817463,0.042431723
g167,Gene67,0.2523405,0.22723792,0.2410926,0.26430947,0.019354943,0.026409462,0.033507317,0.041648764
g168,Gene68,-0.552363,0.019671477,0.13394736,0.16718747,0.026306769,0.035498,0.04199523,0.048308495
g169,Gene69,-0.16403653,-0.17753395,-0.12295729,-0.16732611,0.017983936,0.025991462,0.03342183,0.040363193
g17,Gene17,0.36377287,0.29025066,0.250611,0.30096778,0.019253,0.026855914,0.03566935,0.04148845
g170,Gene70,-0.07895309,-0.626288,-0.06466753,0.009391244,0.018949885,0.030314231,0.040232494,0.047785133
g171,Gene71,0.23218162,0.2033026,-0.4453228,1.0745765,0.020272458,0.029074082,0.04139533,0.056840155
g172,Gene72,0.62013537,0.28258288,0.14947706,0.16815302,0.023408813,0.031552225,0.037884045,0.04472007
g173,Gene73,0.15923136,0.16928716,0.20929503,0.17389518,0.01830211,0.026448932,0.034460906,0.042355318
g174,Gene74,0.36671495,-0.20582815,0.50548375,0.5110804,0.02117717,0.032817736,0.04219188,0.050333336
g175,Gene75,0.07448507,0.008311915,-0.8876663,0.25974092,0.020757467,0.030208638,0.042223856,0.05375409
g176,Gene76,0.17963858,0.17266639,0.07539132,0.12630074,0.018142227,0.026630456,0.03508252,0.04321122
g177,Gene77,-0.034378458,-0.051895663,-0.047616974,-0.05970288,0.019316955,0.027036563,0.034600668,0.04228742
g178,Gene78,0.26394022,0.27263606,0.25291714,0.26346672,0.019455252,0.027541624,0.03578337,0.044960704
g179,Gene79,0.31117445,-0.13154194,-0.233127,0.42136845,0.025697324,0.03663575,0.04395057,0.05275417
g18,Gene18,0.40924856,0.4673016,1.1237054,0.3756234,0.019650625,0.027486749,0.037799854,0.04810308
g180,Gene80,0.0069163074,0.06633698,0.022197522,0.028304804,0.019255066,0.027070466,0.032652915,0.041623984
g181,Gene81,0.5578313,0.5757101,0.5841137,0.57151806,0.020410115,0.027016185,0.033746336,0.042134505
g182,Gene82,0.17736593,0.19369215,0.19320363,0.22610174,0.01933438,0.026334297,0.035502717,0.04270748
g183,Gene83,-0.037525367,0.0073523866,0.035553563,0.0012824081,0.018562727,0.025539791,0.034024104,0.042604465
g184,Gene84,-0.057834167,0.2545474,-0.09286857,-0.1439919,0.01998194,0.027164178,0.036710717,0.044836394
g185,Gene85,0.24543926,0.24321063,0.20259532,0.21968627,0.019764706,0.027334074,0.035355385,0.04380041
g186,Gene86,0.24023554,0.24571212,0.22215098,0.25912458,0.019428793,0.026682016,0.0335117,0.041163687
g187,Gene87,-0.11193875,-0.15074407,-0.12224765,-0.10430031,0.018952759,0.027289193,0.03449719,0.042337194
g188,Gene88,0.50185156,0.5220445,0.5196972,0.51908004,0.02079871,0.027778497,0.034601953,0.043302435
g189,Gene89,-0.11001588,-0.07027469,-0.087146476,-0.114126824,0.018686116,0.026071267,0.03454359,0.041761857
g19,Gene19,-0.059942402,-0.12736967,-0.08664553,-0.083011866,0.019721776,0.02808803,0.036192108,0.043400303
g190,Gene90,-0.13859838,-0.07253534,-0.12188429,-0.12174649,0.019074056,0.027079226,0.03553978,0.042731185
g191,Gene91,0.024044983,0.0011955709,-0.0074348846,-0.032587558,0.01874089,0.02586886,0.033640888,0.043681283
g192,Gene92,-0.15918387,-0.124425896,0.5373086,-0.13729116,0.020652229,0.027801992,0.03811018,0.045794442
g193,Gene93,0.0334342,0.06450145,0.030882616,0.024890369,0.01809291,0.02535097,0.03317772,0.040647395
g194,Gene94,0.20657906,0.2042644,0.17803806,0.1973812,0.01994342,0.027203247,0.033348687,0.04075126
g195,Gene95,0.093904294,0.12634233,0.17559342,0.12017269,0.018024981,0.024886692,0.032347087,0.041003846
g196,Gene96,0.23863283,0.20057587,-0.7335059,0.15364783,0.0185996,0.026544426,0.037487645,0.048444036
g197,Gene97,0.1884107,0.19019443,0.21781214,0.21161813,0.018610392,0.027041115,0.034935325,0.04159205
g198,Gene98,-0.22777432,-0.14404395,-0.18006963,-0.18358165,0.019394891,0.026777357,0.033430237,0.038814496
g199,Gene99,-0.1947781,-0.15443243,-0.15305367,-0.11879809,0.020594714,0.027308552,0.03501852,0.044626825
g2,Gene2,0.0490035,0.089911886,0.6790509,0.09696259,0.019480623,0.026358463,0.035096243,0.044960067
g20,Gene20,0.07696735,0.084767215,0.11741708,0.082923666,0.019285329,0.026953362,0.03363997,0.043478075
g200,Gene100,0.13704896,0.07327017,0.13868132,0.13916025,0.018644491,0.026089549,0.032503318,0.042002555
g201,Gene1,0.03194321,0.044231124,0.03334121,0.059816226,0.018648895,0.02656029,0.035114154,0.04337861
g202,Gene2,0.11410244,0.1550107,0.74415,0.16206153,0.019995525,0.026884142,0.035656065,0.045152
g203,Gene3,0.23162225,-0.13603225,0.26043066,1.0859512,0.01954363,0.030940725,0.039245192,0.051565316
g204,Gene4,0.119764246,0.10689631,0.14104818,0.10565768,0.018795192,0.026307138,0.033240344,0.0406714
g205,Gene5,0.01666393,-0.0054238667,0.00475386,-0.012547101,0.019822989,0.027405364,0.03609854,0.045397315
g206,Gene6,0.011025784,-0.027059542,-0.031741336,0.01723542,0.019446282,0.027041536,0.03392701,0.041986838
g207,Gene7,0.049454246,0.05937569,0.06549696,-0.35536307,0.017221307,0.023603383,0.031511027,0.039255112
g208,Gene8,0.25378463,0.20622566,0.20920017,0.24804209,0.021054765,0.029521417,0.038061142,0.04556184
g209,Gene9,0.2641507,0.08397322,-0.029649857,0.074416384,0.01926892,0.02858817,0.036779936,0.04424643
g21,Gene21,0.08160173,0.113469906,0.07793466,0.07066273,0.018211117,0.026252177,0.03352875,0.0400233
g210,Gene10,0.89113075,0.34359792,0.091482356,0.21667446,0.02795693,0.03562085,0.04480148,0.050856944
g211,Gene11,-0.49754322,0.145539,0.27101475,0.24405482,0.026375584,0.036760163,0.04264214,0.047341052
g212,Gene12,0.11044331,0.08977645,0.12385894,0.06831766,0.0198665,0.027287154,0.034222443,0.043090954
g213,Gene13,0.4454288,0.43062332,0.41852227,0.4150847,0.019947207,0.028556181,0.035504613,0.044386484
g214,Gene14,0.15831786,0.17513695,0.20470004,0.15515156,0.01866477,0.026139958,0.032908842,0.039664757
g215,Gene15,0.3773122,-0.14888692,1.0646565,-0.10043239,0.020309392,0.030441266,0.044609185,0.055851266
g216,Gene16,0.0410233,0.010366735,0.031560346,0.6778818,0.01879945,0.027329689,0.036357492,0.047481626
g217,Gene17,-0.06124956,-0.1347721,-0.17441179,-0.12405497,0.01952435,0.027369812,0.035605785,0.041134343
g218,Gene18,0.07921456,0.13726813,0.7936727,0.04558997,0.019665677,0.028435182,0.038186703,0.048552603
g219,Gene19,-0.2849807,-0.35240823,-0.31168395,-0.30805025,0.020054024,0.027926363,0.03579441,0.04343004
