guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g1,Gene1,-0.12475024,-0.22825515,-0.39495862,-0.58131045,0.13143486,0.1509347,0.17728244,0.20134187,-0.264223878066507,0.00529465443717003,-0.264223878066507,0.00529465443717003,-0.264223878066507,0.00529465443717003,-0.264223878066507,0.00529465443717003,0.00529465443717003,0
g10,Gene10,-0.032391522,0.019686997,0.079733565,0.059159223,0.13035607,0.14248066,0.15996167,0.19158386,0.00750701646265574,0.779207769931083,0.00750701646265574,0.779207769931083,0.00750701646265574,0.779207769931083,0.00750701646265574,0.779207769931083,0.779207769931083,0
g11,Gene11,0.09237888,0.12571578,0.09465623,0.27816123,0.12949356,0.15535046,0.17539857,0.20060095,0.0837399949238994,0.362880787904621,0.0837399949238994,0.362880787904622,0.0837399949238994,0.362880787904622,0.0837399949238994,0.362880787904621,0.362880787904621,0
g12,Gene12,-0.054697644,0.09497285,0.12588254,0.113227606,0.12993415,0.15966263,0.18321846,0.20486309,0.0174399767052123,0.714531124607435,0.0174399767052123,0.714531124607435,0.0174399767052123,0.714531124607435,0.0174399767052123,0.714531124607435,0.714531124607435,0
g13,Gene13,-0.349954,-0.45817822,-0.5756351,-0.7335413,0.13063955,0.15478237,0.18136057,0.20638746,-0.45979701165491,7.04619952385244e-08,-0.45979701165491,7.04619952385244e-08,-0.45979701165491,7.04619952385244e-08,-0.45979701165491,7.04619952385244e-08,7.04619952385244e-08,0
g14,Gene14,0.2724481,0.3515272,0.42292672,0.43916428,0.1351406,0.15456818,0.17390756,0.19584,0.336575293908767,0.000174376226173704,0.336575293908767,0.000174376226173704,0.336575293908767,0.000174376226173704,0.336575293908767,0.000174376226173704,0.000174376226173704,3
g15,Gene15,-0.07264348,0.016589904,0.06526425,-0.06695101,0.13432623,0.15548283,0.18000631,0.20373787,-0.00687450203498446,0.778507214761832,-0.00687450203498446,0.778507214761832,-0.00687450203498446,0.778507214761832,-0.00687450203498446,0.778507214761832,0.778507214761832,1
g16,Gene16,-0.29262805,-0.39173886,-0.49206507,-0.5514684,0.13856502,0.15843087,0.17967238,0.20673041,-0.383049907347359,2.23265151881868e-05,-0.383049907347359,2.23265151881868e-05,-0.383049907347359,2.23265151881868e-05,-0.383049907347359,2.23265151881868e-05,2.23265151881868e-05,0
g17,Gene17,-0.08245829,-0.12814242,-0.06062302,0.108819686,0.12563282,0.15794902,0.171381,0.2017097,-0.0244612676037569,0.669973901782931,-0.0244612676037569,0.669973901782931,-0.0244612676037569,0.669973901782931,-0.0244612676037569,0.669973901782932,0.669973901782931,0
g18,Gene18,0.44373795,0.57154906,0.55951,0.60426396,0.13366136,0.14751624,0.17118455,0.20058379,0.506471704001801,8.20512325861465e-10,0.506471704001801,8.20512325861465e-10,0.506471704001801,8.20512325861466e-10,0.506471704001801,8.20512325861464e-10,8.20512325861464e-10,3
