s_time,s_guide,rmse_mean,corr_mean,sign_mean,rmse_avg,corr_avg,sign_avg,num_seeds
1.0,1.0,0.397415421658892,0.5609920466378115,0.7333333333333333,0.39709395660368113,0.5613485648237874,0.7333333333333333,2
1.0,0.5,0.3976035670176946,0.5610498184658013,0.7333333333333333,0.39728345934953474,0.5614042603523961,0.7333333333333333,2
1.0,0.3,0.39783217369239443,0.5611336979336792,0.7333333333333333,0.3975106557307006,0.5614897391473532,0.7333333333333333,2
1.0,0.1,0.4048166349106015,0.5633515655717324,0.7333333333333333,0.40451484292340434,0.5636734736234597,0.7333333333333333,2
0.5,1.0,0.39676595309789464,0.5609139357940577,0.7333333333333333,0.39644350534257355,0.5612733444727745,0.7333333333333333,2
0.5,0.5,0.396955273353561,0.5609712093489201,0.7333333333333333,0.396634211029727,0.5613285292689453,0.7333333333333333,2
0.5,0.3,0.39718367552547773,0.5610567466919651,0.7333333333333333,0.39686113718747607,0.5614157229305707,0.7333333333333333,2
0.5,0.1,0.4041057996079225,0.563272737309624,0.7333333333333333,0.40380316091576846,0.5635977678593959,0.7333333333333333,2
0.3,1.0,0.3951352579460693,0.5607133697814506,0.7333333333333333,0.39481836330112563,0.5610676085248414,0.7333333333333333,2
0.3,0.5,0.3953181094350434,0.5607697942099665,0.7333333333333333,0.39500257436118064,0.5611219808697385,0.7333333333333333,2
0.3,0.3,0.3955425421040136,0.560852454156971,0.7333333333333333,0.39522574846218655,0.5612060581946063,0.7333333333333333,2
0.3,0.1,0.4024145941354213,0.5630927689207289,0.7333333333333333,0.4021170235881854,0.5634131497787083,0.7333333333333333,2
0.1,1.0,0.36858831560480315,0.5556534068366794,0.7,0.3683566710594471,0.555933713592543,0.7,2
0.1,0.5,0.36877259026400344,0.5557130582657861,0.7,0.3685419825878631,0.5559913104742886,0.7,2
0.1,0.3,0.36899001018112265,0.5557961696115166,0.7,0.36875797089404694,0.5560763871218731,0.7,2
0.1,0.1,0.37549682706810394,0.55788852057164,0.7,0.37527892434811844,0.5581402939558393,0.7,2
