gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3
Gene66,6,0,,,False,0.07531673869957252,0.0,,0.0,1.7432254620898597e-14,0.05616789415104817,0.006542079035042781,0.0,0.05984838013433601,0.006712363230370727,0.0,0.06673527414683383,0.006946720505878852,0.0,0.07531673869957252,0.007185662076900201,0.0
Gene67,6,3,,,False,0.05567309782211012,3.248956659263058e-12,,1.72891620139334e-21,2.312209170530093e-06,0.04463311737756229,0.006851287512095814,3.645173052291284e-11,0.03944714832503333,0.007299453004471658,3.256296160492056e-08,0.04112168009442477,0.007707905716135423,4.777217282869728e-08,0.05567309782211012,0.008105822975614772,3.248956659263058e-12
Gene68,6,0,0.0,d0,True,0.7145902361886967,0.0,0.0,0.0,0.0,-0.7145902361886967,0.01495267820471572,0.0,-0.11771459492233043,0.020702219160506782,6.499204507903755e-09,-0.01103232782710386,0.02398744319977883,0.32278647861094334,0.016662328144207737,0.028671563644315046,0.28057145672215034
Gene69,6,2,,,False,0.1162987467619577,3.725020292222325e-12,,1.90998386755431e-36,8.95261429593047e-15,0.05010021737640785,0.01000360549892142,2.746842738821087e-07,0.03180929010226773,0.012537406199026347,0.00558794016721198,0.1162987467619577,0.016981032227807304,3.725020292222325e-12,0.07642853318973786,0.017873951695178844,9.515218387545765e-06
Gene7,6,3,3.0,d3,True,0.41671229838308804,0.0,0.0,0.0,2.4331370251928794e-11,0.0008026692781650898,0.003815291446509302,0.41668470535603763,0.002013847736913568,0.004981791959648381,0.34301751921432044,0.003006703268453999,0.006285859393787008,0.3162083446823192,-0.41671229838308804,0.012417693242084912,0.0
Gene70,6,1,1.0,d1,True,0.5966932150415162,0.0,0.0,0.0,0.0,-0.047583727494389445,0.011895663003466613,3.165914450165008e-05,-0.5966932150415162,0.01872034201330674,0.0,-0.04191487244931819,0.02398947091306362,0.04029963134745418,0.03292531831187783,0.028540180867222684,0.12432228606953594
Gene71,6,2,2.0,"d2,d3",True,0.866314068603477,0.0,0.0,0.0,4.703037858306811e-37,0.050909668524226064,0.013030334015703424,4.6722299375578924e-05,0.00046583872304616287,0.0182069513780359,0.4897938713521132,-0.6507717062329057,0.024295369891312337,0.0,0.866314068603477,0.0340609861337468,0.0
Gene72,6,0,0.0,"d0,d1",True,0.6036632494729595,0.0,0.0,3.49177744253918e-122,1.08981050996327e-55,0.6036632494729595,0.014271043937860958,0.0,0.23447692781531296,0.018329576162532026,0.0,0.10524479271906863,0.02255363747482496,1.5324487080414784e-06,0.1259827960046941,0.02725182074581817,1.8919423758201326e-06
Gene73,6,0,2.0,d2,True,0.15554866959294952,0.0,0.0,0.0,1.62433087841026e-09,0.09949783292069637,0.007969194826901196,0.0,0.12107968100034477,0.008881937701051957,0.0,0.15554866959294952,0.010045323089471299,0.0,0.1380823814747405,0.010246206015763325,0.0
Gene74,6,1,1.0,d1,True,0.5745444431544329,0.0,0.0,0.0,9.13125705849895e-36,0.023627066579896168,0.013020290800858658,0.034790062113447484,-0.5745444431544329,0.019839972061113747,0.0,0.13185085506957747,0.025044723867026393,7.024132164801244e-08,0.13863995196577833,0.029173924204787056,1.00613918363468e-06
Gene75,6,2,2.0,"d2,d3",True,0.8658992471215134,0.0,0.0,0.0,0.0,0.10215234745743222,0.013076114752768908,2.7755575615628914e-15,0.028612302262031736,0.01771628217432749,0.05315225157580461,-0.8658992471215134,0.025760203892803504,0.0,0.2869787315103819,0.03465199303412977,5.551115123125783e-17
Gene76,6,0,,,False,0.05654335747120148,1.129790233034278e-07,,0.0,3.10989851985375e-10,0.05654335747120148,0.010922861737636014,1.129790233034278e-07,0.045831970044772664,0.014687194767319797,0.0009026007147476811,-0.027099545207736695,0.019172110264764022,0.07875616345061531,0.028431707644251125,0.022963777582167184,0.1078374365658426
Gene77,6,0,1.0,"d1,d2,d3",True,0.2004137774207208,0.0,0.0,0.0,0.001507124023777448,-0.11857131063558995,0.006783064018842321,0.0,-0.17045453499426702,0.00786018890014222,0.0,-0.1727681040105969,0.008092829085367721,0.0,-0.2004137774207208,0.008754310243054446,0.0
Gene78,6,1,,,False,0.0401514342768668,1.894824908088566e-09,,0.0,3.292458986176335e-19,0.03593509670022265,0.006448464889675859,1.254400805450473e-08,0.03883995759872333,0.006590726195272708,1.894824908088566e-09,0.037905378211047724,0.00672811634548556,8.810148832694153e-09,0.0401514342768668,0.0068400433320416855,2.178245805950496e-09
Gene79,6,0,0.0,"d0,d1,d3",True,0.7481220784943577,0.0,0.0,1.2143380303614999e-123,3.184599960633679e-73,0.6771683548207653,0.015410447214280261,0.0,0.18555122738480906,0.021015999898194984,0.0,0.0822421724072587,0.02586631159341436,0.0007376237538740948,0.7481220784943577,0.0317011154666093,0.0
Gene8,6,0,,,False,0.0927815140293187,0.0,,1.26448882353994e-18,1.0612732606487145e-08,0.0927815140293187,0.010470082533441958,0.0,0.041804434419136234,0.015461347145848788,0.003427547440988943,0.04165808827249839,0.01882080511389075,0.013434823975988275,0.08433917993128037,0.021360178603436995,3.93326291077134e-05
Gene80,6,1,,,False,0.04194377291801581,0.0008480205138842178,,0.0,0.0037491184275341,-0.01141895362020297,0.010160402097909492,0.13053445503546823,0.04194377291801581,0.013362723577745908,0.0008480205138842178,0.00034775447540632746,0.015890834761553556,0.49127025780272476,0.0015761441546930462,0.01878266937378302,0.4665620817232734
Gene81,6,1,,,False,0.08834851245947012,0.0,,0.0,0.0167823362513001,0.060061665438973795,0.007826460928381707,8.326672684688674e-15,0.08098961531995195,0.00888389298514143,0.0,0.0881588817850727,0.009257228727376774,0.0,0.08834851245947012,0.009425301762527023,0.0
Gene82,6,3,,,False,0.06784893166445312,7.504552534953746e-13,,3.6346964258135904e-15,0.0001319400916478208,0.0217197921538771,0.007366084414327603,0.0015959751168510006,0.03788874572658518,0.008103992974660806,1.4674910175926925e-06,0.0447324921025211,0.00859574320471483,9.750707086197963e-08,0.06784893166445312,0.00959076056214964,7.504552534953746e-13
