guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
g1,Gene1,0.07946051,0.090650976,0.083343215,0.11266207,0.02121844,0.029190259,0.037176494,0.046178397,0.0610353494463135,0.0175170841168587,0.000952484028887142,0.0613013786907679,0.0191383679269766,0.00408776926150381,0.0591479000700704,0.0219812411392771,0.0185357271126,0.061535815643937,0.0229748617571365,0.0135892720112283,0.000952484028887142,0
g10,Gene10,0.8770585,0.2615416,0.033749964,0.16226491,0.026676582,0.035529274,0.043521974,0.051588353,0.875332426971356,0.0394510745524864,2.22318301961535e-110,0.259925684523369,0.0525318402437207,3.5565753972768e-07,0.0322399866203961,0.0643225849659234,0.308148344699389,0.160236949084453,0.0762007063112558,0.0177092665249811,2.22318301961535e-110,0
g100,Gene100,-0.08808882,-0.14863478,-0.078808434,-0.07953515,0.023143148,0.02998381,0.03686314,0.045039307,-0.0747954204239872,0.0265087494672024,0.00206211732041428,-0.127206695132914,0.0342522565109343,7.67885494012965e-05,-0.0594514448522082,0.0408577940671103,0.0692021571564473,-0.0569542226286881,0.0485154636240458,0.115975590863757,7.67885494012965e-05,1
g101,Gene1,0.3362856,0.34747645,0.34016842,0.36948702,0.020959245,0.028918749,0.036485408,0.045761377,0.317415182757257,0.0161575632540051,2.28296415868581e-30,0.317419785930174,0.0161980031637427,6.80960141721331e-19,0.317397652362556,0.0162553576351988,6.3632489811141e-13,0.317427074584408,0.0163226210241875,1.15311161582373e-10,2.28296415868581e-30,0
g102,Gene2,-0.0093196295,0.030288476,0.62195855,0.037192598,0.020766119,0.027851298,0.0356051,0.043483887,-0.0168509511828658,0.0304884794725154,0.311303314332854,0.0185672570722238,0.0407988878902818,0.347838606251267,0.607093049940032,0.0519590348734202,5.56096656614124e-32,0.0190454093235756,0.0635340546087491,0.405076491308747,5.56096656614124e-32,2
g103,Gene3,0.052329943,-0.3191552,0.07017579,0.89945227,0.021561949,0.030701907,0.03889194,0.05122309,0.0423612256565532,0.031814906365084,0.0914897565604049,-0.332949218596143,0.0452813837831123,1.00364161426114e-13,0.0521968802842939,0.0573546525241238,0.181437132763316,0.87350795184801,0.0754950096319647,2.0603288507526e-31,2.0603288507526e-31,3
g104,Gene4,-0.013516382,-0.017658276,0.010055102,-0.022561058,0.020439688,0.027541343,0.034589197,0.04234968,-0.0140279116194061,0.0193300393725511,0.235128800741431,-0.0155610320129148,0.0232754719321898,0.231738564259963,-0.00317721169655432,0.0306258555951633,0.390844677047146,-0.0165261566134125,0.0314215832897911,0.254548984255939,0.231738564259963,1
g105,Gene5,-0.10906749,-0.1292861,-0.12570707,-0.14907576,0.02193418,0.030223504,0.038991004,0.04720942,-0.0843918399498543,0.0178640832867205,3.82401707829105e-05,-0.0850698659184269,0.0189332241558177,0.000328415209103206,-0.083624071788011,0.0209727579920554,0.00376192567553779,-0.0845294069571742,0.0218874447835512,0.00416359309802061,3.82401707829105e-05,0
g106,Gene6,-0.4739206,-0.51287353,-0.51786786,-0.46926275,0.023765871,0.030588,0.037796065,0.04454674,-0.463300789774452,0.0269149052080863,0,-0.474873757550422,0.0338548938988098,0,-0.47489062630602,0.0390088216917485,0,-0.456957514713955,0.0441360492499678,1.31405997194634e-12,0,0
g107,Gene7,-0.17541464,-0.1636107,-0.15261716,-0.5764607,0.019973934,0.026123375,0.031887993,0.0397049,-0.168250782764302,0.0299802160232484,8.94000729001476e-09,-0.154259950198486,0.0391958671572,4.07396229831214e-05,-0.14119592611131,0.0478320915109551,0.00158005251727167,-0.56118757758215,0.0596512654039794,0,0,3
g108,Gene8,-0.1590457,-0.20223951,-0.2036272,-0.15514277,0.020148514,0.02935336,0.037824932,0.04481355,-0.13572372852107,0.0253167759926527,7.82101527985191e-09,-0.164839679287044,0.0365755226114103,5.24519903621901e-07,-0.156555040429053,0.046216736265952,0.000118301923195396,-0.107706135987522,0.0530528794609114,0.0165100770810737,7.82101527985191e-09,0
g109,Gene9,0.22417846,0.02967884,-0.07289634,0.029854001,0.020636009,0.029225955,0.037316527,0.044211786,0.230423339372989,0.0304343103225244,2.78043056559438e-14,0.0396812005409863,0.0434037896713804,0.181054718591993,-0.0594577527728004,0.0553384389495738,0.142002358811866,0.045199232667924,0.065426000208794,0.245294358803799,2.78043056559438e-14,0
g11,Gene11,-0.7821699,-0.11249247,-0.006955057,-0.027798664,0.02441381,0.034253903,0.040203054,0.04726681,-0.782246487149387,0.0361183965743162,0,-0.113283705109328,0.0506580298040334,0.0125961273721524,-0.00807821902543518,0.0594409211688913,0.446129902888645,-0.0291622259908579,0.0698440406040797,0.338320221251007,0,0
g110,Gene10,1.0617708,0.44625413,0.2184624,0.34697753,0.027799092,0.037200868,0.044414297,0.052564215,1.05663184640802,0.0411514723498671,3.23715547839346e-147,0.440121415790354,0.0550659320612533,5.63265898759967e-16,0.211614211829145,0.065710492749791,0.00063374075762078,0.338625183344992,0.0777426578058672,6.45990154650043e-06,3.23715547839346e-147,0
g111,Gene11,-0.6893448,-0.019666977,0.08587044,0.065026894,0.022851136,0.034591362,0.040080227,0.047588315,-0.69140205261686,0.0336761787028993,2.22044604925031e-16,-0.023458265500957,0.0509531732760626,0.32289744102732,0.0812914142489031,0.0590256558188422,0.0843688345504764,0.0595083964038249,0.0700328536465478,0.19767100407696,2.22044604925031e-16,0
g112,Gene12,0.26598462,0.23831874,0.27405006,0.22764327,0.019449672,0.027864615,0.035087362,0.04259077,0.274152728536613,0.0200568832957204,5.53230945389338e-22,0.268995544323957,0.0301835298913641,3.16570345187997e-10,0.273453330365749,0.0262127730236782,6.46629648283687e-09,0.265779411867762,0.039831786104914,2.73005826266212e-05,5.53230945389338e-22,0
g113,Gene13,0.031555384,0.012431997,0.008543433,0.0003190644,0.020218039,0.028249176,0.034903534,0.04384283,0.0493681941093593,0.0183198639539769,0.0101481235459615,0.046175570683693,0.0233986603074721,0.0511084836797727,0.0457527887322661,0.025417131381949,0.0623399521824524,0.0447808107699658,0.0285579517514157,0.076405722288495,0.0101481235459615,0
g114,Gene14,0.14559507,0.15942977,0.19079715,0.14206451,0.020393066,0.02661809,0.034750987,0.041944798,0.125422856736735,0.0231975947270004,4.07136434073967e-07,0.128608821443398,0.0276542950545475,1.31036991320821e-05,0.13970223146205,0.0346509802108901,7.1166458326275e-05,0.109276236204925,0.0442325254200076,0.0143151705837576,4.07136434073967e-07,0
g115,Gene15,0.14188984,-0.39139497,0.82015526,-0.3401035,0.021390459,0.030460779,0.045127295,0.057492368,0.138068084822575,0.0294489288879096,1.53241402357125e-06,-0.395944392935479,0.0418894272327881,0,0.811815753450752,0.0619424576388875,4.63541861146901e-36,-0.349452582288092,0.0787880842873717,8.8582628708922e-06,0,1
g116,Gene16,0.11125838,0.0811538,0.099037856,0.75502676,0.021299487,0.02855116,0.03661018,0.047606427,0.101687465727423,0.0317059051997722,0.000670494413837545,0.0683691920170865,0.0424891432856784,0.0539216643899691,0.0825968156657651,0.0544834447967967,0.0649053147313858,0.731970566101777,0.0708036321963426,7.33714218458193e-26,7.33714218458193e-26,3
