gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene60,-0.1627989,0.28972024,0.38297847,0.36873472,0.012176011,0.025285935,0.03327757,0.04070327
Gene61,0.030306038,0.03426444,0.00055826706,-0.0038802726,0.010782727,0.02232734,0.030173216,0.036496684
Gene62,0.004870906,-0.046895526,0.021973666,0.034197494,0.009838706,0.021616716,0.030997211,0.040810652
Gene63,0.0988889,-0.18153387,-0.14096089,-0.15211147,0.010593513,0.023168793,0.032364223,0.04205611
Gene64,-0.008842251,0.03132635,-0.028518898,0.002628346,0.011005304,0.021336753,0.030349096,0.03928967
Gene65,0.020339793,0.04667835,0.051421225,0.024529882,0.010804598,0.021999083,0.030075861,0.039603345
Gene66,0.019747347,0.02470988,0.04207341,0.06768387,0.009706742,0.019866899,0.029474163,0.038868964
Gene67,0.013325044,0.004609691,0.011211014,0.03386132,0.010175761,0.020516744,0.028929738,0.037283864
Gene68,-0.2495749,0.3505577,0.45761517,0.48425773,0.015494405,0.028407613,0.035951555,0.043725837
Gene69,-0.0026545362,-0.017620692,0.0382013,-0.0018261679,0.010007052,0.02096275,0.029111061,0.036869016
Gene7,0.0024808554,0.012879033,0.02499741,-0.40024745,0.0095291035,0.018961402,0.028263291,0.03629622
Gene70,-0.02440563,-0.57357085,-0.020468825,0.05421098,0.0095684575,0.025110113,0.035810377,0.04458471
Gene71,0.029074673,-0.00962391,-0.65710497,0.8722462,0.010843942,0.023552202,0.03739747,0.053830974
Gene72,0.21256551,-0.16065545,-0.29016286,-0.26815826,0.0140804155,0.024743035,0.03253712,0.04070856
Gene73,0.037024233,0.04562898,0.0787332,0.040386993,0.010391136,0.02207544,0.031421177,0.03955485
Gene74,0.016194778,-0.5723288,0.13613099,0.14318042,0.010531661,0.026867913,0.03696181,0.04520929
Gene75,0.03984376,-0.035424616,-0.93726194,0.21717323,0.011179798,0.02432424,0.037910514,0.051277854
Gene76,0.022680862,0.008846858,-0.076201424,-0.018638916,0.010310838,0.022520134,0.032171197,0.041585587
Gene77,-0.038626738,-0.061919887,-0.051524904,-0.062846914,0.009770906,0.021588378,0.030283444,0.03927853
Gene78,0.01764819,0.019567765,0.00038676237,0.009249634,0.009105762,0.021251876,0.03126492,0.041452263
Gene79,0.23743829,-0.2544482,-0.35795555,0.31300122,0.014968063,0.029146342,0.03771141,0.04739281
Gene8,0.041864406,-0.0020041796,-0.003956568,0.04621424,0.01056115,0.023420604,0.03284585,0.041187342
Gene80,-0.01191775,0.044610143,0.0030222943,0.004500529,0.010388803,0.021434309,0.027228344,0.03728224
Gene81,0.03535227,0.062436633,0.06672243,0.056026574,0.0106429625,0.02028159,0.02923786,0.038721938
Gene82,0.012673632,0.029621681,0.036154002,0.07054387,0.010570592,0.021042915,0.031085368,0.039558847
Gene83,-0.0343777,0.012230125,0.044915095,0.010850967,0.0098111415,0.019361248,0.029403174,0.03856494
Gene84,0.022443842,0.3296738,-0.001615475,-0.048560053,0.010405914,0.022302927,0.0327579,0.04159171
Gene85,0.030263502,0.024220662,-0.0124351615,0.008466654,0.010147098,0.02147847,0.030462014,0.040699597
Gene86,0.02073868,0.02367196,0.004745355,0.038564198,0.009919276,0.020870004,0.029020732,0.038594272
Gene87,0.003926711,-0.035796896,-0.0066821435,0.017056072,0.009328811,0.021732287,0.029948946,0.038591783
Gene88,0.043073855,0.045421667,0.045916572,0.050707623,0.010571435,0.022006817,0.030095514,0.04005913
