day,tp,fp,fn,tn,precision,recall,f1,fpr
0,4,0,6,90,1.0,0.4,0.5714285714285715,0.0
1,10,5,0,85,0.6666666666666666,1.0,0.8,0.05555555555555555
2,10,7,0,83,0.5882352941176471,1.0,0.7407407407407407,0.07777777777777778
3,8,5,2,85,0.6153846153846154,0.8,0.6956521739130435,0.05555555555555555
overall,32,17,8,343,0.6530612244897959,0.8,0.7191011235955055,0.04722222222222222
any,29,0,4,67,1.0,0.8787878787878788,0.9354838709677419,0.0
