gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3
Gene36,6,3,,,False,0.1796146281021366,4.285460875053104e-14,,7.29067288661849e-19,1.45844055099431e-06,0.07530030224552137,0.011630545835993121,4.760836169737104e-11,0.09011833665637825,0.015015412770963028,9.761774721894767e-10,0.05345082182264627,0.020186704738307026,0.004050595996106576,-0.1796146281021366,0.024073678017983,4.285460875053104e-14
Gene37,6,0,1.0,d1,True,0.41125759324218253,0.0,0.0,3.47922620596882e-88,5.63343251877689e-17,0.1102519715761076,0.012332163868826533,0.0,0.41125759324218253,0.017318046429274366,0.0,0.05816916051515438,0.02267792334510199,0.005158602005024604,0.05328098379225703,0.025426365338097192,0.018063222712291216
Gene38,6,2,,,False,0.06584171467331115,0.00017535899982767944,,2.65500518896908e-37,1.0045483084031317e-05,-0.0025458029390809144,0.010688872296740008,0.4058733804724224,-0.03349467519759801,0.014597029733393921,0.010877379247375973,-0.06584171467331115,0.01841914794685208,0.00017535899982767944,-0.012540618570633554,0.02143178554156192,0.27922642255276453
Gene39,6,1,,,False,0.09805243686530704,4.887762417027375e-10,,0.0,0.03740029942175832,0.047729311253633666,0.009337296088246384,1.5964942368107415e-07,0.0828197311394139,0.01354805927123567,4.887762417027375e-10,0.09805243686530704,0.017093862952972882,4.843522527497868e-09,0.08822791768246048,0.01706113577144146,1.1624766893536531e-07
Gene4,6,3,,,False,0.08671039399105197,5.329070518200751e-15,,0.0,0.00454159754313695,-0.03563841821164398,0.007780736508484619,2.321103840574601e-06,-0.054230041220990004,0.008995616675726278,8.274613216840976e-10,-0.04763727983197839,0.01034397290807168,2.0591847679218844e-06,-0.08671039399105197,0.01121381660218502,5.329070518200751e-15
Gene40,6,0,,,False,0.19269591612560794,0.0,,1.0244005910412701e-23,1.6433271761291205e-06,0.1343385079800678,0.007834345231536597,0.0,0.14430576450490704,0.008993839761017274,0.0,0.1550258556701074,0.009952235404735986,0.0,0.19269591612560794,0.010257881672284913,0.0
Gene41,6,1,,,False,0.1254729088736506,1.2644330027455908e-12,,8.709857830303619e-26,1.4952467504020332e-06,0.0537182964881471,0.01095191563996687,4.673213810924004e-07,0.10729502749480285,0.015324162040065448,1.2644330027455908e-12,0.1254729088736506,0.01898626444642874,1.9396595440923647e-11,0.09875943843106624,0.02302231684157928,8.94467164835877e-06
Gene42,6,0,,,False,0.11003359759192312,0.0,,0.0,1.0549439791985925e-15,-0.11003359759192312,0.006677414929584637,0.0,-0.10601557419159734,0.006831038258673026,0.0,-0.10407893341148083,0.006963408203314568,0.0,-0.10522903270993125,0.007052929479554952,0.0
Gene43,6,1,,,False,0.0893616484038776,2.2038815217229057e-11,,0.0,1.783803568366592e-07,-0.055279088399267845,0.01065225879144142,1.0547273676664304e-07,-0.0893616484038776,0.01356084808473902,2.2038815217229057e-11,-0.0312933306011675,0.017242937988961555,0.03477355074978283,-0.08180869520296491,0.019235388658940315,1.0544840586268478e-05
Gene44,6,0,2.0,d2,True,0.3280953313654677,0.0,0.0,7.55671836121217e-24,3.839165715765607e-12,0.11085664729278662,0.011742432247649428,0.0,0.11014591236655799,0.015938703926240038,2.4131807663252403e-12,0.3280953313654677,0.01996071487712216,0.0,0.09335279082221358,0.02403215362165273,5.1271311558465094e-05
Gene45,6,0,,,False,0.05372657751622699,1.2734258092450546e-13,,1.11022302462516e-16,1.1164761165636175e-12,-0.05372657751622699,0.007343334664719815,1.2734258092450546e-13,-0.03881193228324921,0.008018797746735418,6.488082615607738e-07,-0.05205778202333628,0.008196488490993957,1.0680012429986618e-10,-0.05037912335056481,0.008565931326549807,2.0348358553690105e-09
Gene46,6,1,1.0,d1,True,0.6989649101626304,0.0,0.0,0.0,0.0,0.05185289167705946,0.012780990775145041,2.4850111411067743e-05,-0.6989649101626304,0.02088760157368977,0.0,0.04698299609933343,0.02562761028786353,0.03337928002310053,0.10407603795604795,0.030199276567981055,0.0002841500917867279
Gene47,6,1,1.0,d1,True,0.4184283797768499,0.0,0.0,0.0,1.5362571458008188e-28,-0.004991793701872518,0.005581232022506721,0.1855568416584561,0.4184283797768499,0.011758852403533733,0.0,-0.010919181737483054,0.011355992164630053,0.1681416664473615,-0.017277546104456393,0.014470871343973186,0.1162480977318614
Gene48,6,3,,,False,0.09673922748261583,3.3323344084124074e-13,,0.0,0.00287507925376515,0.04881597859861179,0.008430867120787904,3.5161962230745303e-09,0.029055803844041907,0.010647833244162215,0.003178265311756523,0.020629800552605968,0.012726644382842286,0.0525095776077909,0.09673922748261583,0.013461906967955805,3.3323344084124074e-13
Gene49,6,0,0.0,d0,True,0.36527038793192623,0.0,0.0,1.11642841335867e-49,2.037753768503958e-28,0.36527038793192623,0.012660900687912603,0.0,0.1135081368373833,0.017458127318515555,3.969913286994142e-11,0.06610424387992982,0.021756539410323197,0.0011893398841688052,0.05933173079884176,0.025927480626613382,0.011057922064136472
Gene5,6,0,,,False,0.060042984485957,3.476552379311215e-12,,5.19224179248658e-16,0.009472659700575608,0.05131988026367083,0.00748254377249,3.476552379311215e-12,0.05125969269611579,0.008705727372002378,1.95398325297802e-09,0.060042984485957,0.00929793077251076,5.316302953417562e-11,0.05713901177784583,0.010490351862152036,2.5639793621579088e-08
Gene50,6,0,,,False,0.02886997142953978,0.0007915137329101984,,8.60755910991884e-13,3.4821749534298307e-07,-0.02808739463061627,0.00889118439666313,0.0007915137329101984,-0.020521141475118687,0.01088897581298665,0.02974331061401725,0.02886997142953978,0.014778833229700038,0.02538210823019965,-0.016276068212366816,0.015431675506156248,0.14577712459110992
Gene51,6,0,0.0,"d0,d2,d3",True,0.6485747498273801,0.0,0.0,0.0,0.0,0.20187595788470686,0.012904062052306146,0.0,0.1488671458188096,0.017210836672881365,0.0,-0.6485747498273801,0.02406875875614282,0.0,0.22376353650056874,0.029983790093015876,4.235500838944972e-14
