gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene6,-0.021777656,0.1139128,0.05220728,0.010560103,0.005267646,0.011326311,0.014020417,0.019098977
Gene60,0.016306404,-0.018742057,0.03064373,0.027705671,0.004624746,0.009586668,0.012476437,0.017232724
Gene61,-0.011112614,0.051996283,0.05009752,0.051580884,0.004930872,0.009876992,0.0125404,0.017223569
Gene62,-0.01011758,-0.018052094,0.02040857,0.015642425,0.0052639428,0.00929953,0.012741181,0.018826943
Gene63,0.0075598904,-0.0019000312,0.05717997,0.022186443,0.0050805104,0.009161776,0.012677754,0.01806065
Gene64,0.0032197805,-0.029522961,-0.019920051,0.013753161,0.0051838444,0.009296552,0.012658667,0.017461415
Gene65,0.013300338,0.012273479,0.00039384793,-0.031802513,0.005068983,0.009456834,0.012224763,0.01762068
Gene66,-0.0040083583,-0.0024489802,-0.0041711093,0.062021498,0.004622743,0.008704582,0.011778738,0.017126823
Gene67,-0.0139391795,-0.046624135,-0.019116351,0.042083632,0.004657436,0.008751531,0.011753106,0.017191857
Gene68,0.009378712,-0.01573465,-0.03081601,0.028570892,0.0052007926,0.008678545,0.011901748,0.016496198
Gene69,0.04516522,0.01977093,-0.032165386,-0.027800148,0.0057652188,0.00942902,0.012788735,0.018146565
Gene7,0.00014362109,9.196626e-05,-0.05330985,0.017651424,0.0047762855,0.008409778,0.011855695,0.016614648
Gene70,0.0012635549,-0.0047818143,0.0030391654,0.014201526,0.00483411,0.009657557,0.012730435,0.018224407
Gene71,-0.013117223,0.044960298,0.08739943,0.060219735,0.0046688206,0.009509836,0.012991432,0.017834693
Gene72,-0.028646074,-0.0009528451,0.041500505,0.045251258,0.0055289445,0.009838464,0.01263254,0.017236657
Gene73,-0.014064722,0.033573523,0.027682744,0.09497958,0.0051218644,0.00964344,0.012870856,0.017857729
Gene74,0.025205342,-0.018381128,-0.08279668,-0.028311836,0.0055266446,0.010139731,0.0132973455,0.019149037
Gene75,0.026554057,0.006194619,0.012841995,-0.06182149,0.0056727314,0.009854486,0.012695339,0.018591898
Gene76,0.0057067242,0.026719555,0.043412346,0.0054856646,0.0050245984,0.0096648745,0.012643175,0.01741043
Gene77,0.014910344,0.014884665,0.022669284,0.04057721,0.0049373573,0.008806871,0.01231514,0.017168494
Gene78,0.025084231,0.030469809,0.0112383645,-0.07147863,0.0051385295,0.009108622,0.012580478,0.01906132
Gene79,0.012757067,0.010434556,0.03431829,0.0017524695,0.0049368488,0.009773651,0.013186134,0.01746321
Gene8,0.030245906,-0.054226067,-0.0579346,-0.10071986,0.0056152157,0.010300288,0.0134024015,0.017746188
Gene80,0.00018749286,0.02219812,-0.027848814,-0.060871176,0.00530515,0.009169759,0.011543,0.017579025
Gene81,0.005611723,-0.012364246,0.014113968,0.06282234,0.005015544,0.00885107,0.011818795,0.017456707
Gene82,-0.003974193,-0.04046983,-0.05019892,0.06011822,0.00523323,0.009595838,0.012672354,0.017946433
Gene83,0.017168187,0.047860313,-0.009902661,-0.014754965,0.004604968,0.008441563,0.011961305,0.017445873
Gene84,0.0009544169,-0.022338858,-0.032823335,0.033426132,0.0050946665,0.009075286,0.01263708,0.018030979
Gene85,0.0045855264,2.0512833e-05,0.014995553,0.006830064,0.0051374882,0.009238741,0.011972354,0.017160939
Gene86,-0.010815988,-0.03163808,0.0107007865,0.049322143,0.004938191,0.008814918,0.011508289,0.017169528
Gene87,-0.007664082,0.053611126,0.08583661,0.046624172,0.0048576966,0.009624693,0.0131256,0.018642625
Gene88,0.0059932163,-0.03887605,-0.035217788,0.038822636,0.0046167034,0.009530471,0.012228291,0.017876144
Gene89,-0.008473474,0.00049398,0.0052301576,-0.009783169,0.00477209,0.008248557,0.011571421,0.016966114
Gene9,-0.008955125,0.015880084,0.030643083,0.08075409,0.005109773,0.009611293,0.012293241,0.016983086
Gene90,0.0028384703,-0.0280807,-0.0042825993,-0.050265353,0.00496106,0.009508689,0.0123888105,0.018311841
Gene91,0.02921232,-0.021059388,-0.004146169,-0.027201915,0.005437803,0.008965647,0.012000846,0.01780236
Gene92,0.0033949616,-0.02450115,-0.015978795,0.05108786,0.00511235,0.008829546,0.01191678,0.016366297
Gene93,0.029933622,-0.059230145,0.001852469,-0.028630503,0.005083074,0.010517388,0.013127962,0.017645277
Gene94,-0.0094736675,0.022143742,0.03704802,0.066863,0.0048030647,0.009767929,0.012139639,0.01711193
Gene95,-0.0007273526,0.028204232,0.028516337,0.1372407,0.0050669876,0.008586684,0.011460538,0.017133921
Gene96,0.003978408,0.056451533,0.03163614,0.009313155,0.0048031956,0.008925765,0.012122064,0.01614975
Gene97,-0.0012571022,0.012389781,-0.033204153,-0.04913381,0.005138039,0.009598868,0.012321032,0.016712377
Gene98,0.0047422983,0.012452414,0.013698011,0.07079044,0.0046565016,0.009261433,0.011958857,0.016350113
Gene99,0.01513507,0.026819466,-0.0419733,0.04950553,0.0048894994,0.009041873,0.011963667,0.017764693
