day,tp,fp,fn,tn,precision,recall,f1,fpr
0,1,0,60,59,1.0,0.01639344262295082,0.03225806451612903,0.0
1,0,0,60,60,0.0,0.0,0.0,0.0
2,0,0,66,54,0.0,0.0,0.0,0.0
3,0,0,74,46,0.0,0.0,0.0,0.0
overall,1,0,260,219,1.0,0.0038314176245210726,0.007633587786259542,0.0
any,1,0,92,27,1.0,0.010752688172043012,0.021276595744680854,0.0
