gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene60,0.3639402,-0.35962003,-0.42769355,-0.38585314,0.021280145,0.041253585,0.05344814,0.06362438
Gene61,0.331128,-0.289657,-0.38472107,-0.32779172,0.021814106,0.03990053,0.0502865,0.058975205
Gene62,-0.0015786529,-0.66486424,-0.022570008,0.33960342,0.019044118,0.03875485,0.052329406,0.065923005
Gene63,0.06543921,0.08743087,-0.38134342,0.09120049,0.017992778,0.034494035,0.048087895,0.06146573
Gene64,0.04446774,0.09710369,0.07605723,-0.7080728,0.01917416,0.033786394,0.047916457,0.059727464
Gene65,0.10327839,-0.45771712,-0.93977267,0.5958353,0.019082662,0.039622433,0.05255167,0.07012102
Gene66,-0.035276838,-0.021996211,-0.05366071,0.7606371,0.017916905,0.033565648,0.048386574,0.06259753
Gene67,-0.13701943,0.09322833,0.37986735,-0.39256078,0.019612044,0.03498664,0.046264846,0.057703182
Gene68,0.0261706,0.057282478,0.059013385,0.028961234,0.018009854,0.033075817,0.04557652,0.05523578
Gene69,-0.26840508,-0.4110274,-0.06058999,0.4028425,0.018591857,0.035505574,0.04751951,0.058444325
Gene7,-0.17368571,0.46318844,0.2271957,-0.54117996,0.01758623,0.033501834,0.045854647,0.056354057
Gene70,0.21106386,-0.9589875,-0.16520117,-0.14586948,0.017999837,0.04157825,0.05598965,0.06762052
Gene71,0.023818867,0.007361666,-0.29994357,-0.0006771995,0.017522216,0.03546683,0.048590764,0.058164753
Gene72,-0.29220077,0.25343794,0.2342458,-0.7090392,0.02105695,0.036492024,0.04792882,0.058855973
Gene73,0.3204329,-0.30858806,-1.0900148,-0.3689026,0.021157678,0.039198328,0.053301778,0.0630994
Gene74,-0.055068523,-0.8957225,-0.041584484,0.04268783,0.018476939,0.0412482,0.054894105,0.06743925
Gene75,-0.040034913,-0.61801314,-0.041894402,-0.46419644,0.019399028,0.039181802,0.051849823,0.06292312
Gene76,0.2794287,-0.16822357,0.5738523,-0.017695695,0.021395914,0.041667275,0.056522965,0.068429135
Gene77,-0.040345643,-0.058577385,-0.40600926,0.9434749,0.018317452,0.034974605,0.049340744,0.065083176
Gene78,-0.3565513,1.2593147,0.4382746,0.4000054,0.019819923,0.047120936,0.059145167,0.06899011
Gene79,0.015166388,-0.35509902,-0.68066347,-0.54426533,0.017308528,0.036955073,0.04891997,0.058774695
