guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g148,Gene48,-0.5735782,-0.77912766,-0.42796153,0.109658636,0.028507754,0.042848933,0.054229014,0.064295486
g149,Gene49,-0.3467631,0.50008804,0.06766869,-1.0802759,0.030384526,0.046139043,0.058260944,0.06807658
g15,Gene15,1.0171375,0.32279515,1.0090266,0.6700844,0.03535423,0.049048908,0.06320725,0.073607005
g150,Gene50,-0.1741469,-0.14986637,0.28488976,-0.72930014,0.028952586,0.041218165,0.051691398,0.06376718
g151,Gene51,-0.73205405,0.5968431,-0.09753839,-0.18188477,0.033845644,0.05181836,0.06201309,0.07197617
g152,Gene52,0.8345436,0.033616826,-0.8871719,0.026639165,0.035421535,0.049554307,0.06519048,0.0768826
g153,Gene53,-0.75938207,-0.5492121,0.8904979,0.87393194,0.03388769,0.0496637,0.06782763,0.078173175
g154,Gene54,-0.21562251,-0.15353449,0.42528322,-0.16071728,0.02988774,0.04391189,0.054782096,0.06441099
g155,Gene55,-0.16216038,-0.5776372,0.13814823,-0.114994444,0.031642985,0.04379944,0.054376386,0.06716201
g156,Gene56,-0.334577,-1.0014489,-0.35347664,-0.31390765,0.031072132,0.04486275,0.057520762,0.06883703
g157,Gene57,0.41980532,0.18224843,0.4684058,1.2534915,0.029784296,0.043769546,0.05513452,0.06712939
g158,Gene58,0.23783115,0.7241975,0.39748862,-0.9189727,0.031945825,0.043430094,0.052237313,0.0649963
g159,Gene59,0.01937412,0.03238614,-0.50047743,0.0012502306,0.029574212,0.04069088,0.052102722,0.06378946
g16,Gene16,-0.15133515,-0.001216801,-0.77815056,0.57045096,0.029611425,0.042628273,0.057455845,0.071825646
g160,Gene60,0.7582856,0.037674956,-0.0321042,0.01029524,0.03355716,0.047460828,0.058987815,0.06857519
g161,Gene61,0.6820522,0.05993072,-0.033147935,0.027331308,0.032641828,0.04675823,0.05615395,0.06697859
g162,Gene62,-0.10694883,-0.7671742,-0.12471788,0.2345092,0.030046467,0.045879014,0.058772128,0.06815636
g163,Gene63,0.3496715,0.37099633,-0.09498677,0.37642717,0.030612908,0.042888474,0.055231255,0.06590336
g164,Gene64,-0.13769421,-0.084660985,-0.106675506,-0.8892161,0.030942965,0.041705303,0.05213678,0.06323668
g165,Gene65,0.011955405,-0.55130535,-1.0332657,0.49909708,0.030563332,0.045459695,0.057316795,0.07307336
g166,Gene66,-0.005455256,0.010452148,-0.022213165,0.7900267,0.02969199,0.042274937,0.056009185,0.06599558
g167,Gene67,-0.049878616,0.17821176,0.46431178,-0.30367213,0.02770282,0.039964262,0.051542684,0.0627243
g168,Gene68,-0.12571408,-0.09537188,-0.09287222,-0.1215626,0.029113848,0.040801905,0.050545655,0.059992936
g169,Gene69,-0.7293992,-0.874282,-0.5233829,-0.062174417,0.031644445,0.043597344,0.054882277,0.06575728
g17,Gene17,0.4215184,-0.26864275,0.41295838,-0.49373186,0.0314734,0.044910852,0.05584899,0.06611719
g170,Gene70,0.30497003,-0.8677548,-0.072911315,-0.05351588,0.029152323,0.04826649,0.05995071,0.07061311
g171,Gene71,0.15139607,0.13305642,-0.17509302,0.121373095,0.028818158,0.042352956,0.051511653,0.06193149
g172,Gene72,-0.86824167,-0.32176375,-0.34009048,-1.2831892,0.03233449,0.0420326,0.05424298,0.064693876
g173,Gene73,0.4865978,-0.1412971,-0.92162114,-0.20003535,0.032845445,0.04588223,0.0576458,0.06727614
g174,Gene74,-0.08046343,-0.9216125,-0.06669314,0.01707083,0.029807404,0.048630875,0.061791394,0.07242858
g175,Gene75,0.19488119,-0.3863904,0.18978244,-0.23299432,0.031047456,0.044086896,0.05569721,0.0673995
g176,Gene76,0.59839743,0.14880441,0.89103323,0.300649,0.031956013,0.045995228,0.06035676,0.07117073
g177,Gene77,-0.33290437,-0.35149032,-0.6976881,0.64984024,0.031649236,0.04233588,0.055067733,0.07131694
g178,Gene78,-0.78046274,0.8351766,0.0140923215,-0.024685143,0.033875454,0.05319873,0.06336804,0.072266355
g179,Gene79,-0.051922116,-0.42341292,-0.7492679,-0.612696,0.029671894,0.042828143,0.054455567,0.06503675
g18,Gene18,0.19944526,0.72913164,0.2657893,0.94059277,0.029143807,0.042899083,0.055048678,0.065709785
g180,Gene80,0.33858582,-0.13845645,0.2606689,0.37239543,0.032522716,0.04678319,0.056956515,0.06578927
g181,Gene81,0.7006856,0.098311156,-0.024612052,-0.17859504,0.032857355,0.045936372,0.05605409,0.065012835
g182,Gene82,0.16088223,0.7492218,-0.11448121,-0.64095265,0.03152408,0.043630667,0.056104667,0.0652572
g183,Gene83,0.75654846,0.26837224,0.97688717,1.0926001,0.035452567,0.04583973,0.06050774,0.07159045
g184,Gene84,-0.25817034,-1.1347132,-0.28218907,-0.25410554,0.031451307,0.04734457,0.061176818,0.07111292
g185,Gene85,-0.547656,-0.0027080325,-0.74153125,0.03202419,0.027876016,0.043380395,0.053756762,0.063397646
