day,tp,fp,fn,tn,precision,recall,f1,fpr
0,10,37,0,53,0.2127659574468085,1.0,0.3508771929824561,0.4111111111111111
1,10,37,0,53,0.2127659574468085,1.0,0.3508771929824561,0.4111111111111111
2,10,28,0,62,0.2631578947368421,1.0,0.4166666666666667,0.3111111111111111
3,10,20,0,70,0.3333333333333333,1.0,0.5,0.2222222222222222
overall,40,122,0,238,0.24691358024691357,1.0,0.396039603960396,0.3388888888888889
any,33,35,0,32,0.4852941176470588,1.0,0.6534653465346535,0.5223880597014925
