gene,lfsr_min,best_day,postmean_bestday,n_guides,min_guide_lfsr_min,median_guide_lfsr_min,max_abs_postmean,hit_anyday
Gene1,0.0,0,-0.236974121901387,6,0.0,7.2941652717873e-14,0.33102499266188,True
Gene11,0.0,0,-0.68915702040007,6,0.0,0.0,1.20265212923218,True
Gene15,0.0,0,-0.195533884901606,6,0.0,4.884575234886555e-121,1.05040338799646,True
Gene16,0.0,0,-0.211858119068276,6,0.0,2.3860675018589765e-56,0.804538841563103,True
Gene18,0.0,0,-0.355366799189568,6,0.0,1.7531908456892e-150,1.22444806150181,True
Gene19,0.0,0,-0.300501506796484,6,0.0,0.00033086979980525,0.365814091674271,True
Gene2,0.0,0,-0.318901413430349,6,0.0,7.68882138261905e-95,0.986258567127878,True
Gene20,0.0,0,-0.209076755264922,6,0.0,2.555316956544434e-20,0.209076755264922,True
Gene21,0.0,0,-0.409913119412253,6,0.0,5.365924443099816e-27,0.409913119412253,True
Gene23,0.0,0,-0.428434514983674,6,0.0,0.0,0.788375861489635,True
Gene28,0.0,0,-0.222393224688079,6,0.0,0.00036333648423066654,0.22239456457229,True
Gene29,0.0,0,-0.214883481730719,6,0.0,5.883977574555936e-17,0.214893835046723,True
Gene3,0.0,1,-0.347247223108225,6,0.0,0.0,1.07793982327344,True
Gene30,0.0,0,-0.232278151877816,6,0.0,1.2484347305186929e-11,0.232278151877816,True
Gene31,0.0,0,-0.386779966358075,6,0.0,1.511859143816545e-34,0.386779966358075,True
Gene32,0.0,0,-0.366006250386834,6,0.0,8.652022420654724e-36,0.711640150700487,True
Gene33,0.0,0,-0.301463143894429,6,0.0,6.697253913503165e-20,0.413598703867676,True
Gene34,0.0,2,-0.368005554898459,6,0.0,0.0,0.642278678414101,True
Gene37,0.0,0,-0.189493403448727,6,0.0,1.1332458499772757e-49,0.880839930172182,True
Gene38,0.0,0,-0.180729100284917,6,0.0,1.11022302462516e-16,0.355013811075331,True
Gene39,0.0,0,-0.297512498860439,6,0.0,0.0036981152525987003,0.311906806553831,True
Gene4,0.0,0,-0.260784473103494,6,0.0,0.009283975389845201,0.260786790800433,True
Gene42,0.0,0,-0.183210586177872,6,0.0,7.14487557841085e-60,0.401186895201884,True
Gene43,0.0,0,-0.302896429931722,6,0.0,4.663167006804867e-13,0.302948488955079,True
Gene45,0.0,0,-0.358475742154938,6,0.0,2.4916879113015076e-24,0.358475742154938,True
Gene46,0.0,1,-0.694916223746278,6,0.0,0.0,0.892941896974514,True
